116.41667,39.91667
121.43333,31.20000
117.20000,39.13333
114.10000,22.20000
113.23333,23.16667
113.51667,22.30000
114.06667,22.61667
120.20000,30.26667
106.45000, 29.56667
120.33333,36.06667
118.10000,24.46667
119.30000,26.08333
103.73333,36.03333
106.71667,26.56667
113.00000,28.21667
118.78333,32.05000
115.90000,28.68333
123.38333,41.80000
112.53333,37.86667
104.06667,30.66667
91.00000,29.60000
87.68333,43.76667
102.73333,25.0500
108.95000,34.26667
101.75000,36.56667
106.26667,38.46667
122.08333,46.06667
126.63333,45.75000
125.35000,43.88333
114.31667,30.51667
113.65000,34.76667
114.48333,38.03333
109.50000,18.20000
110.35000,20.01667
113.50000,22.20000
